Codigo;Rubro;Descripcion;Marca;PrecioCompra;PrecioVenta;Stock;StockMinimo;AlicuotaIva;CodigoProv
134709;LIBRERIA; ;MIL28;3.679;5.800;010;;000;
80000260;LIBRERIA; Binder N1;Ezco;512;850;002;000;003;0
80000032;LIBRERIA;A4 3 solapa Spring Rideo;RIDEO;1.680;2.700;005;000;005;21
80000001;LIBRERIA;A4 carpeta 3 solapas marrón;TANDIL;625;750;000;000;000;0
80000002;LIBRERIA;A4 carpeta cartulina;;470;700;000;000;000;0
80000215;LIBRERIA;A4 Carpeta Clasificador ;LAMA;3.125;5.000;001;000;001;0
80000003;ART,CELULAR;ABAPTADOR IBEK CARGA RAPIDO;IBEK;4.400;000;001;000;001;0
80000004;LIBRERIA;Abrochadora (507);NC;3.328;6.500;001;000;001;0
80000005;LIBRERIA;Abrochadora Buffalo NC Nª10;Ezco;279;450;000;000;000;0
80000006;LIBRERIA;Abrochadora maped Nº10;KANGARO;2.820;6.000;001;001;001;0
80000007;LIBRERIA;Abrochadora ql-10;KANGARO;2.820;3.800;001;000;001;0
134699;LIBRERIA;Acrilico perlados/ fluor;EQ;760;1.250;040;;000;
80000009;LIBRERIA;ACRILICO VINTAGE;EQ;2.212;3.550;001;000;001;0
80000010;LIBRERIA;Acrilico x200cc Amarillo;EQ;1.757;2.800;001;000;001;0
80000011;LIBRERIA;Acrilico x200cc Anaranjado;EQ;1.757;2.800;001;000;001;0
80000012;LIBRERIA;Acrilico x200cc Azul ultramar;EQ;1.757;2.800;001;000;001;0
80000013;LIBRERIA;Acrilico x200cc blanco;EQ;1.757;2.800;002;000;003;0
80000014;LIBRERIA;Acrilico x200cc Blanco lino;EQ;1.757;2.800;001;000;001;0
80000015;LIBRERIA;Acrilico x200cc celeste;EQ;1.757;2.800;001;000;001;0
80000016;LIBRERIA;Acrilico x200cc cielo;EQ;1.757;2.800;000;000;001;0
80000017;LIBRERIA;Acrilico x200cc marron;EQ;1.757;2.800;001;000;001;0
80000018;LIBRERIA;Acrilico x200cc negro;EQ;1.757;2.800;000;000;001;0
80000019;LIBRERIA;Acrilico x200cc Rojo;EQ;1.757;2.800;001;000;001;0
80000020;LIBRERIA;Acrilico x200cc Rosa princesa;EQ;1.757;2.800;001;000;001;0
80000021;LIBRERIA;Acrilico x200cc Rosa romantico;EQ;1.757;2.800;001;000;001;0
80000022;LIBRERIA;Acrilico x200cc verde hierba;EQ;1.757;2.800;002;000;002;0
80000023;LIBRERIA;Acrilico x200cc verde pino;EQ;1.757;2.800;001;000;001;0
80000024;LIBRERIA;Acrilico x200cc violeta;EQ;1.757;2.800;003;000;003;0
80000025;LIBRERIA;Acrilico x50 cc;EQ;653;1.300;016;000;022;0
